#RoC1935 中華民國教育部第一批簡化字
罷	罢
發	发
閥	阀
答	⿱䒑合
殺	杀
雜	⿱𠅃木
壓	压
啞	唖
亞	亜
價	价
蝦	虾
襪	袜
掛	挂
畫	画
劃	㓰
撥	拨
潑	泼
羅	罗
囉	啰
鑼	⿰釒罗
邏	逻
籮	箩
幗	⿰巾囯
國	囯
過	过
惡	悪
麽	庅
個	个
闔	𬮤
蟄	蛰
這	这
熱	热
鐵	鉄
竊	窃
協	协
樂	乐
覺	覚
學	学
質	貭
執	执
職	聀
紙	帋
遲	⿺辶+⿸厂丰
師	师
獅	狮
時	时
實	实
勢	势
辭	辞
爾	尔
邇	迩
醫	医
儀	仪
蟻	蚁
義	义
議	⿰訁义
異	异
藝	兿
閉	闭
彌	弥
糴	籴
體	体
擬	拟
離	离
禮	礼
厲	厉
勵	励
機	机
鷄	鳮
虀	齑
擠	㨈
繼	継
劑	剤
濟	済
齊	斉
豈	岂
啟	启
氣	气
棄	弃
戲	戏
礙	碍
擺	摆
賣	⿱士𠕹
邁	迈
臺	台
擡	抬
檯	枱
蓋	盖
開	𫔭
齋	斋
儕	㑪
篩	筛
曬	晒
纔	才
儈	侩
獪	狯
檜	桧
懷	怀
帥	帅
備	俻
廢	废
類	类
為	为
偽	伪
對	对
歸	归
龜	𬺞
櫃	柜
會	会
繪	絵
燴	烩
雖	虽
嵗	岁
無	无
覆	覄
獨	独
讀	⿰訁⿱士𠕹
圖	图
爐	炉
廬	庐
蘆	芦
壺	壷
滬	沪
燭	烛
囑	嘱
處	処
樞	枢
贖	⿰貝⿱士𠕹
屬	属
數	数
儒	㐵
卒	卆
蘇	⿱䒑办
肅	粛
歟	欤
與	与
譽	誉
驢	馿
屢	屡
縷	𫃵
舉	举
懼	惧
區	区
驅	駆
趨	趋
續	⿰糹⿱士𠕹
寳	宝
報	报
貌	皃
禱	祷
濤	涛
閙	闹
勞	劳
號	号
趙	𧺉
棗	枣
竈	灶
藥	⿱䒑約
廟	庙
條	条
糶	粜
驕	⿰馬乔
矯	矫
攪	撹
喬	乔
僑	侨
橋	桥
簫	簘
蕭	⿱䒑粛
歐	欧
毆	殴
謳	⿰訁⿷匸又
嘔	呕
鬬	鬥
頭	头
婁	娄
樓	楼
皺	皱
晝	昼
儔	俦
籌	筹
壽	寿
鄒	邹
猶	犹
留	𬎿
劉	刘
舊	旧
繡	綉
庵	广
辦	办
蠻	蛮
膽	胆
擔	担
攤	摊
灘	滩
癱	瘫
壇	坛
檀	枟
難	难
覽	览
趕	赶
堪	⿰土⿰七⿰、、
勘	⿰⿰七⿰、、力
氈	毡
戰	战
贊	賛
蠶	蚕
傘	⿴仐乂
巖	岩
鹽	𥂁
艷	艳
邊	边
變	变
點	点
念	卄
聯	联
憐	怜
練	⿰糹东
煉	⿰火东
戀	恋
間	间
堅	坚
艱	艰
鹼	碱
𥳑	简
薦	⿱䒑存
遷	迁
錢	⿰犭、
閑	闲
賢	𬥎
縣	県
彎	弯
萬	万
斷	断
鸞	鵉
亂	乱
觀	覌
關	𬮦
歡	欢
還	还
環	环
算	祘
園	园
遠	远
權	权
勸	劝
懸	𢝝
選	选
門	门
們	们
悶	闷
墳	坟
懇	恳
斟	⿰厷斗
陳	陈
甚	⿱一⿰⿴乚、、
陰	阴
隱	隐
賓	宾
濱	滨
殯	殡
閩	闽
臨	临
儘	侭
盡	尽
燼	烬
親	亲
釁	衅
聞	闻
問	问
閏	闰
孫	孙
韻	韵
勳	勛
遜	逊
幫	帮
當	当
噹	𪠽
黨	党
擋	挡
張	⿰刂长
帳	帐
賬	账
漲	涨
長	长
場	场
腸	肠
嘗	尝
傷	⿰亻⿱𠃓
贓	賍
喪	丧
陽	阳
癢	痒
糧	粮
礦	卝
莊	庄
牀	床
雙	双
風	凨
豐	丰
鳳	凤
燈	灯
稱	称
懲	惩
聲	声
繩	䋲
聖	圣
應	应
營	营
蠅	蝇
聽	听
廳	厛
靈	灵
興	⿱丿㒷
東	东
凍	冻
鬨	𬮢
鐘	鈡
眾	众
蟲	虫
榮	荣
從	从
叢	樷
窮	穷
