#上	丄
#下	丅
#候	𠊱 候
#其	丌
#化	𠤎 化
#周	週
#地	嶳
#壹	夁
#污	汙
#法	灋
#無	无
#猿	蝯
#箇	个
#粳	稉
#腿	蹆
#華	䔢
雜	襍 雜
一升	一升
#世	丗 世
世	卋 世
並	竝 並
乃	廼 乃
之	㞢 之
事	叓 事
五	㐅 五
亡	亾 亡
仁	忈 仁
他	佗 他
仙	僊 仙
#仙	㒨 仙
以	㠯 以
仿	倣 仿
你	伱 你
併	倂 併
侮	侮 侮
侯	矦 侯
侶	侣 侶
俊	儁 俊
俞	兪 俞
個	个 個
個	箇 個
倡	唱 倡
值	値 值
假借	叚借 假借
做	作 做
偷	偸 偷
備	僃 備
僴	僩 僴
先考	先考
光	灮 光
兩	㒳 兩
公升	公升
冇	嘸 冇
冗	宂 冗
冰	仌 冰
函	圅 函
剁	刴 剁
前	歬 前
剪	翦 剪
劍	劎 劍
劍	鐱 劍
匆	悤 匆
升	昇 升
升斗	升斗
升旗	抍旗 升旗
即	卽 即
厄	戹 厄
去	厺 去
友	㕛 友
叟	叜 叟
口吃	口吃
史	㕜 史
吃	喫 吃
吃吃	吃吃
吃舌	吃舌
吃逆	吃逆
吃音	吃音
吊	弔 吊
吏	叓 吏
吹	龡 吹
吻	脗 吻
呂	吕 呂
呆	獃 呆
呣	嘸 呣
和	咊 和
和諧	龢龤 和諧
咒	呪 咒
咱	偺 咱
唔	嘸 唔
唱	誯 唱
善	譱 善
喉	㗋 喉
喫	吃 喫
喻	喩 喻
嘯	歗 嘯
回	囘 回
囪	囱 囪
囱	囪 囱
垛	垜 垛
堂	坣 堂
塊	凷 塊
塡	填 塡
填	塡 填
壖	堧 壖
夏	夓 夏
天	兲 天
天秤	天平 天秤
奈	柰 奈
妍	姸 妍
妙	玅 妙
始	兘 始
娘	孃 娘
嫂	㛮 嫂
嫻	嫺 嫻
嬬	媆 嬬
學	斅 學
宅	㡯 宅
宜	冝 宜
宜	宐 宜
宮	宫 宮
宿	㝛 宿
察	詧 察
射	䠶 射
尚	尙 尚
屏	屛 屏
屛	屏 屛
岩	巖 岩
峰	峯 峰
巓	巔 巓
川	巛 川
幫	幇 幫
年	秊 年
并	幷 并
幷	并 幷
幸	㚔 幸
廋	廀 廋
廢	癈 廢
彬	虨 彬
往	徃 往
得	䙷 得
從	从 從
思	恖 思
怱	悤 怱
恿	慂 恿
愛	㤅 愛
愼	慎 愼
慎	愼 慎
懦	愞 懦
懶	嬾 懶
戶	戸 戶
抽	㩅 抽
