#sg1969_1976
#大陸では簡化されないもの(11字)
要	𡚩 要
信	伩 信
窗	囪 窗
貌	皃 貌
嘴	咀 嘴
留	畄 留
答	荅 答
覆	覄 复
算	祘 算
賽	𡧳 赛
解	觧 解
刹	杀 刹
剎	杀 剎
殺	杀 殺
#シンガポールでは〈刹殺→杀〉、大陸では〈殺→杀〉
#大陸と簡化のしかたが異なるもの(38字)
檳	梹 槟 檳
撥	𫝼 拨 撥
場	㘯 场 場
鬥	鬥 斗 鬥
鬭	鬥 斗 鬭
读	⿰訁⿱士头 读 讀
惡	悪 恶 惡
發	発 发 發
飛	𮨶 飞 飛
廢	廃 废 廢
撫	⿰扌⿱𠂉⿻二厶 抚 撫
關	𬮦 关 關
國	囯 国 國
劃	㓰 划 劃
諫	⿰訁𫠣 谏 諫
開	𫔭 开 開
褲	衭 裤 褲
來	耒 来 來
麗	丽 麗
賣	⿱士头 卖 賣
潑	溌 泼 潑
讓	誏 让 讓
獅	𤞏 狮 獅
贖	⿰貝⿱士头 赎 贖
肅	粛 肃 肅
歲	𭭚 岁 歲
檯	枱 台 檯
團	⿴囗专 团 團
無	⿱𠂉⿻二厶 无 無
蕪	⿳艹𠂉⿻二厶 芜 蕪
蕭	䔥 萧 蕭
簫	簘 箫 簫
續	⿰糹⿱士头 续
亞	亜 亚 亞
雜	󵟂 杂 雜
職	聀 职 職
紙	帋 纸 紙
綱	䋄 纲 綱
觀	覌 观 觀
繪	絵 绘 繪
饑	飢 饥 饑
譏	⿰訁几 讥 譏
雞	鳮 鸡 雞
繼	継 继 繼
賤	⿰貝戋 贱 賤
講	⿰訁井 讲 講
驕	⿰馬乔 骄 驕
經	⿰糹𢀖 经 經
頸	⿰𢀖頁 颈 頸
覺	覚 觉 覺
覽	⿱󰋟見 览 覽
纜	糹⿱󰋟見 缆 纜
練	⿰糹𫠣 练 練
錢	⿰釒戋 钱 錢
繩	䋲 绳 繩
識	䛊 识 識
鐵	鉄 铁 鐵
綫	⿰糹戋 线 綫
線	⿰糹戋 线 線
驗	⿰馬佥 验 驗
藥	葯 药 藥
葯	葯 药 葯
譯	⿰訁𠬤 译 譯
議	⿰訁义 议 議
證	証 证 證
織	𥿗 织 織
質	貭 质 質
鐘	鈡 钟 鐘
